,Date,Bike Usage,Day
403,2020-03-27,2393.5,5.0
404,2020-03-28,1060.5,6.0
405,2020-03-29,872.5,7.0
406,2020-03-30,1465.0,1.0
407,2020-03-31,1520.0,2.0
408,2020-04-01,3165.0,3.0
409,2020-04-02,1493.5,4.0
410,2020-04-03,1565.5,5.0
411,2020-04-04,1381.5,6.0
412,2020-04-05,1121.5,7.0
413,2020-04-06,1641.5,1.0
414,2020-04-07,1814.0,2.0
415,2020-04-08,1817.0,3.0
416,2020-04-09,1718.0,4.0
417,2020-04-10,1709.0,5.0
418,2020-04-11,1937.5,6.0
419,2020-04-12,817.5,7.0
420,2020-04-13,1388.5,1.0
421,2020-04-14,1810.0,2.0
422,2020-04-15,1932.5,3.0
423,2020-04-16,1862.5,4.0
424,2020-04-17,1845.0,5.0
425,2020-04-18,1544.5,6.0
426,2020-04-19,1674.0,7.0
427,2020-04-20,1917.5,1.0
428,2020-04-21,1942.5,2.0
429,2020-04-22,1890.5,3.0
430,2020-04-23,2028.5,4.0
431,2020-04-24,2167.5,5.0
432,2020-04-25,2112.0,6.0
433,2020-04-26,1539.5,7.0
434,2020-04-27,1975.0,1.0
435,2020-04-28,2078.0,2.0
436,2020-04-29,1665.5,3.0
437,2020-04-30,1712.5,4.0
438,2020-05-01,2009.0,5.0
439,2020-05-02,2234.5,6.0
440,2020-05-03,2186.5,7.0
441,2020-05-04,2197.5,1.0
442,2020-05-05,2383.5,2.0
443,2020-05-06,2426.5,3.0
444,2020-05-07,2297.0,4.0
445,2020-05-08,2730.0,5.0
446,2020-05-09,3076.5,6.0
447,2020-05-10,1483.0,7.0
448,2020-05-11,2124.0,1.0
449,2020-05-12,2334.0,2.0
450,2020-05-13,2302.5,3.0
451,2020-05-14,2696.0,4.0
452,2020-05-15,2505.0,5.0
453,2020-05-16,2740.5,6.0
454,2020-05-17,2470.5,7.0
455,2020-05-18,2260.0,1.0
456,2020-05-19,3035.5,2.0
457,2020-05-20,3380.5,3.0
458,2020-05-21,2837.0,4.0
459,2020-05-22,2496.0,5.0
460,2020-05-23,2378.0,6.0
461,2020-05-24,3070.5,7.0
462,2020-05-25,3030.5,1.0
463,2020-05-26,3177.5,2.0
464,2020-05-27,3340.0,3.0
465,2020-05-28,3621.5,4.0
466,2020-05-29,3771.0,5.0
467,2020-05-30,3858.0,6.0
468,2020-05-31,3331.5,7.0
469,2020-06-01,3356.5,1.0
470,2020-06-02,3452.5,2.0
471,2020-06-03,2839.0,3.0
472,2020-06-04,2997.0,4.0
473,2020-06-05,2947.0,5.0
474,2020-06-06,2243.0,6.0
475,2020-06-07,2599.0,7.0
476,2020-06-08,3407.5,1.0
477,2020-06-09,3060.5,2.0
478,2020-06-10,2943.5,3.0
479,2020-06-11,2655.5,4.0
480,2020-06-12,3128.5,5.0
481,2020-06-13,2927.0,6.0
482,2020-06-14,2494.0,7.0
483,2020-06-15,3954.5,1.0
484,2020-06-16,3508.0,2.0
485,2020-06-17,3260.0,3.0
486,2020-06-18,2979.0,4.0
487,2020-06-19,3372.0,5.0
488,2020-06-20,3267.0,6.0
489,2020-06-21,2683.5,7.0
490,2020-06-22,3276.5,1.0
491,2020-06-23,3468.0,2.0
492,2020-06-24,3977.0,3.0
493,2020-06-25,4088.5,4.0
494,2020-06-26,3983.0,5.0
495,2020-06-27,2273.5,6.0
496,2020-06-28,1947.0,7.0
497,2020-06-29,3334.5,1.0
498,2020-06-30,3793.0,2.0
499,2020-07-01,6069.0,3.0
500,2020-07-02,4126.5,4.0
501,2020-07-03,3872.0,5.0
502,2020-07-04,3238.0,6.0
503,2020-07-05,2475.0,7.0
504,2020-07-06,3762.5,1.0
505,2020-07-07,2437.0,2.0
506,2020-07-08,2728.5,3.0
507,2020-07-09,3802.0,4.0
508,2020-07-10,4102.5,5.0
509,2020-07-11,3457.5,6.0
510,2020-07-12,2835.5,7.0
511,2020-07-13,3668.0,1.0
512,2020-07-14,3336.0,2.0
513,2020-07-15,4029.5,3.0
514,2020-07-16,4148.0,4.0
515,2020-07-17,4069.0,5.0
516,2020-07-18,3368.5,6.0
517,2020-07-19,3076.0,7.0
518,2020-07-20,3931.0,1.0
519,2020-07-21,4206.0,2.0
520,2020-07-22,4060.0,3.0
521,2020-07-23,3983.5,4.0
522,2020-07-24,3791.5,5.0
523,2020-07-25,3138.5,6.0
524,2020-07-26,2836.0,7.0
525,2020-07-27,3597.0,1.0
526,2020-07-28,4011.5,2.0
527,2020-07-29,3950.0,3.0
528,2020-07-30,4178.5,4.0
529,2020-07-31,4163.0,5.0
530,2020-08-01,3158.5,6.0
531,2020-08-02,2720.0,7.0
532,2020-08-03,2847.5,1.0
533,2020-08-04,4001.5,2.0
534,2020-08-05,3949.0,3.0
535,2020-08-06,4250.0,4.0
536,2020-08-07,4384.5,5.0
537,2020-08-08,3800.5,6.0
538,2020-08-09,2975.0,7.0
539,2020-08-10,3563.5,1.0
540,2020-08-11,4249.5,2.0
541,2020-08-12,4363.5,3.0
542,2020-08-13,4400.0,4.0
543,2020-08-14,4484.5,5.0
544,2020-08-15,3738.0,6.0
545,2020-08-16,2799.0,7.0
546,2020-08-17,2801.0,1.0
547,2020-08-18,3643.0,2.0
548,2020-08-19,2984.0,3.0
549,2020-08-20,3787.0,4.0
550,2020-08-21,4143.5,5.0
551,2020-08-22,3127.5,6.0
552,2020-08-23,2879.5,7.0
553,2020-08-24,3813.0,1.0
554,2020-08-25,2968.5,2.0
555,2020-08-26,4376.5,3.0
556,2020-08-27,3623.0,4.0
557,2020-08-28,3460.5,5.0
558,2020-08-29,3325.0,6.0
559,2020-08-30,3028.0,7.0
560,2020-08-31,3982.5,1.0
561,2020-09-01,4319.0,2.0
562,2020-09-02,3381.0,3.0
563,2020-09-03,4280.5,4.0
564,2020-09-04,4150.5,5.0
565,2020-09-05,3281.0,6.0
566,2020-09-06,2945.0,7.0
567,2020-09-07,3843.5,1.0
568,2020-09-08,4379.0,2.0
569,2020-09-09,4495.0,3.0
570,2020-09-10,4436.0,4.0
571,2020-09-11,4063.0,5.0
572,2020-09-12,3514.0,6.0
573,2020-09-13,3181.0,7.0
574,2020-09-14,4261.0,1.0
575,2020-09-15,4469.0,2.0
576,2020-09-16,4465.5,3.0
577,2020-09-17,4635.0,4.0
