,Date,Bike Usage,Day
0,2019-01-01,2047.5,2.0
1,2019-01-02,6211.0,3.0
2,2019-01-03,6871.5,4.0
3,2019-01-04,6765.5,5.0
4,2019-01-05,4006.0,6.0
5,2019-01-06,3708.5,7.0
6,2019-01-07,7164.5,1.0
7,2019-01-08,7656.0,2.0
8,2019-01-09,7834.0,3.0
9,2019-01-10,7458.5,4.0
10,2019-01-11,7481.5,5.0
11,2019-01-12,4205.5,6.0
12,2019-01-13,3319.0,7.0
13,2019-01-14,7559.5,1.0
14,2019-01-15,8009.0,2.0
15,2019-01-16,7698.5,3.0
16,2019-01-17,7811.0,4.0
17,2019-01-18,7507.5,5.0
18,2019-01-19,4057.5,6.0
19,2019-01-20,3354.5,7.0
20,2019-01-21,6952.0,1.0
21,2019-01-22,7528.5,2.0
22,2019-01-23,7673.0,3.0
23,2019-01-24,7228.0,4.0
24,2019-01-25,7768.0,5.0
25,2019-01-26,3567.0,6.0
26,2019-01-27,3237.0,7.0
27,2019-01-28,7147.0,1.0
28,2019-01-29,7325.0,2.0
29,2019-01-30,7776.0,3.0
30,2019-01-31,6404.5,4.0
31,2019-02-01,7247.5,5.0
32,2019-02-02,4112.0,6.0
33,2019-02-03,3183.5,7.0
34,2019-02-04,7278.0,1.0
35,2019-02-05,7411.0,2.0
36,2019-02-06,7752.5,3.0
37,2019-02-07,7785.5,4.0
38,2019-02-08,6872.0,5.0
39,2019-02-09,3888.0,6.0
40,2019-02-10,3167.0,7.0
41,2019-02-11,7174.0,1.0
42,2019-02-12,7857.5,2.0
43,2019-02-13,7922.0,3.0
44,2019-02-14,8110.5,4.0
45,2019-02-15,7528.5,5.0
46,2019-02-16,4310.5,6.0
47,2019-02-17,3873.0,7.0
48,2019-02-18,7260.0,1.0
49,2019-02-19,7476.5,2.0
50,2019-02-20,8180.5,3.0
51,2019-02-21,8258.0,4.0
52,2019-02-22,7657.0,5.0
53,2019-02-23,4587.0,6.0
54,2019-02-24,4102.0,7.0
55,2019-02-25,7632.5,1.0
56,2019-02-26,8022.0,2.0
57,2019-02-27,8181.5,3.0
58,2019-02-28,8179.5,4.0
59,2019-03-01,7543.0,5.0
60,2019-03-02,4018.0,6.0
61,2019-03-03,1978.5,7.0
62,2019-03-04,7357.0,1.0
63,2019-03-05,7237.5,2.0
64,2019-03-06,7784.0,3.0
65,2019-03-07,7736.5,4.0
66,2019-03-08,3116.5,5.0
67,2019-03-09,4148.5,6.0
68,2019-03-10,3221.0,7.0
69,2019-03-11,7259.0,1.0
70,2019-03-12,7231.5,2.0
71,2019-03-13,7250.5,3.0
72,2019-03-14,7249.0,4.0
73,2019-03-15,7188.5,5.0
74,2019-03-16,3183.0,6.0
75,2019-03-17,2835.5,7.0
76,2019-03-18,3293.5,1.0
77,2019-03-19,7502.5,2.0
78,2019-03-20,7984.5,3.0
79,2019-03-21,8207.5,4.0
80,2019-03-22,7447.0,5.0
81,2019-03-23,4677.0,6.0
82,2019-03-24,3721.5,7.0
83,2019-03-25,7736.5,1.0
84,2019-03-26,8273.5,2.0
85,2019-03-27,8175.0,3.0
86,2019-03-28,8442.0,4.0
87,2019-03-29,7864.5,5.0
88,2019-03-30,4610.0,6.0
89,2019-03-31,3851.5,7.0
90,2019-04-01,7500.5,1.0
91,2019-04-02,7598.0,2.0
92,2019-04-03,7036.0,3.0
93,2019-04-04,6752.5,4.0
94,2019-04-05,7113.5,5.0
95,2019-04-06,4469.5,6.0
